产品编码,产品名称,产品参数,产品类型,价格,平均得分,好评率,差评率,好评数,中评数,差评数,追评数
sku_id,name,parameters2,brand,price,average_score,good_rate,poor_rate,good_count,general_count,poor_count,after_count
10491918513,施珞纷 婚庆用品 婚礼请帖 中式结婚请柬 创意邀请函喜帖蝴蝶个性请帖(20份装),"[""商品名称：施珞纷 婚庆用品 婚礼请帖 中式结婚请柬 创意邀请函喜帖蝴蝶个性请帖(20份装)"",""商品编号：10491918513"",""店铺： "",""商品毛重：200.00g"",""货号：HQ006"",""颜色：红色"",""分类：其它""]",珠宝首饰,36,5,0.988,0.001,900,10,1,1
13509743100,淘运阁开光朱砂五帝明咒古钱挂件白玉真品五帝钱铜钱观音灵感玉挂饰,"[""商品名称：淘运阁开光朱砂五帝明咒古钱挂件白玉真品五帝钱铜钱观音灵感玉挂饰"",""商品编号：13509743100"",""店铺： "",""商品毛重：1.0kg"",""货号：wudimingzhou"",""颜色：其它"",""分类：其它""]",珠宝首饰,168,5,1,0,10,0,0,0
12480306467,Bybrana  中式新娘古装头饰套装金色流苏发簪古典旗袍凤冠秀禾服龙凤褂配饰 新款流苏套装耳钩款,"[""商品名称：Bybrana  中式新娘古装头饰套装金色流苏发簪古典旗袍凤冠秀禾服龙凤褂配饰 新款流苏套装耳钩款"",""商品编号：12480306467"",""店铺： "",""商品毛重：100.00g"",""货号：代z"",""颜色：其它"",""分类：发饰""]",珠宝首饰,79,5,1,0,7,0,0,0
13510235284,淘运阁开光五帝钱葫芦铜铃铜铃铛风铃挂饰车挂汽车挂件风水镇宅摆件真品车饰车内吊饰饰品保平安 招财福款,"[""商品名称：淘运阁开光五帝钱葫芦铜铃铜铃铛风铃挂饰车挂汽车挂件风水镇宅摆件真品车饰车内吊饰饰品保平安 招财福款"",""商品编号：13510235284"",""店铺： "",""商品毛重：1.0kg"",""货号：tyg-08552"",""颜色：其它"",""分类：其它""]",珠宝首饰,48,5,1,0,20,0,0,0
1147685713,启尔（Cheer） 电动红酒开瓶器 启瓶器起子 电动开瓶器葡萄酒酒具礼盒套装 C1961 经典锵色美版,"[""商品名称：启尔（Cheer） 电动红酒开瓶器 启瓶器起子 电动开瓶器葡萄酒酒具礼盒套装 C1961 经典锵色美版"",""商品编号：1147685713"",""店铺： "",""商品毛重：473.00g"",""商品产地：中国大陆"",""货号：CK1961"",""材质：其它"",""分类：其它"",""数量：1个""]",厨具,99,5,0.993,0.002,4300,20,10,9
10463670120,森驰（SENCHI） 加厚玻璃泡酒瓶带龙头无铅泡酒坛密封罐酵素桶酿酒药酒瓶酒缸多种可选 12斤+铜龙头+高工艺底座,"[""商品名称：森驰（SENCHI） 加厚玻璃泡酒瓶带龙头无铅泡酒坛密封罐酵素桶酿酒药酒瓶酒缸多种可选 12斤+铜龙头+高工艺底座"",""商品编号：10463670120"",""店铺： "",""商品毛重：4.0kg"",""材质：玻璃"",""数量：1个"",""容量：800ml以上"",""国产/进口：国产"",""分类：其它""]",厨具,98,5,0.979,0.01,4900,60,50,10
13675501088,白酒杯 白酒杯套装 烈酒杯子弹杯高脚茅台杯一口杯小酒杯水晶玻璃白酒杯分酒器分酒壶梵卡奇 【8杯+2只分酒器 】礼盒装 免费刻字,"[""商品名称：白酒杯 白酒杯套装 烈酒杯子弹杯高脚茅台杯一口杯小酒杯水晶玻璃白酒杯分酒器分酒壶梵卡奇 【8杯+2只分酒器 】礼盒装 免费刻字"",""商品编号：13675501088"",""店铺： "",""商品毛重：4.0kg"",""商品产地：中国大陆"",""材质：水晶"",""数量：10个以上"",""容量：51-100ml"",""国产/进口：国产"",""分类：白酒杯""]",厨具,358,5,0.981,0.012,300,3,5,4
13397846923,斯涅克 酒壶304不锈钢随身德国进口金属酒瓶1斤1.5斤2斤3斤4斤5斤6斤7斤酒具包邮 53盎司油壶约3斤（4B1L）,"[""商品名称：斯涅克 酒壶304不锈钢随身德国进口金属酒瓶1斤1.5斤2斤3斤4斤5斤6斤7斤酒具包邮 53盎司油壶约3斤（4B1L）"",""商品编号：13397846923"",""店铺： "",""商品毛重：500.00g"",""货号：油壶"",""材质：不锈钢"",""数量：6-10个"",""容量：800ml以上"",""国产/进口：国产"",""分类：其它""]",厨具,105,5,0.994,0.002,2400,10,6,8
5309808,松发MINIKO简瓷欧式20头陶瓷餐具套装简约碗盘碟套装,"[""商品名称：松发简瓷20头陶瓷餐具"",""商品编号：5309808"",""商品毛重：4.44kg"",""商品产地：广东潮州市"",""货号：AJC065300"",""数量：10-20件"",""适用人数：4-6人"",""图案：纯色"",""分类：餐具套装"",""风格：中式"",""工艺：釉中彩""]",厨具,199,5,0.996,0.001,1800,6,2,5
16448019471,ULKNN 欧式碗碟套装景德镇陶瓷器家用高档骨瓷餐具套装盘子碗具送礼品饭碗筷 60头绝代佳人,"[""商品名称：ULKNN 欧式碗碟套装景德镇陶瓷器家用高档骨瓷餐具套装盘子碗具送礼品饭碗筷 60头绝代佳人"",""商品编号：16448019471"",""店铺： "",""商品毛重：10.0kg"",""商品产地：中国大陆"",""数量：51-60件"",""适用人数：7人以上"",""图案：黄金镶边"",""分类：餐具套装"",""风格：欧式"",""工艺：其它""]",厨具,398,5,0.979,0.012,3000,30,40,10
